,id,name
0,1,강남구
1,2,강동구
2,3,강북구
3,4,강서구
4,5,관악구
5,6,광진구
6,7,구로구
7,8,금천구
8,9,노원구
9,10,도봉구
10,11,동대문구
11,12,동작구
12,13,마포구
13,14,서대문구
14,15,서초구
15,16,성동구
16,17,성북구
17,18,송파구
18,19,양천구
19,20,영등포구
20,21,용산구
21,22,은평구
22,23,종로구
23,24,중구
24,25,중랑구
