,id,name,carb,protein,fat,salt,kcal
1267,D11008,바닐라라떼M,0,13,0,290,382
1268,D11009,아이스 바닐라라떼S,0,6,0,150,201
1269,D11010,아이스 바닐라라떼M,0,9,0,230,300
1270,D11011,카푸치노S,0,8,0,120,154
1271,D11012,카푸치노M,0,12,0,170,226
1272,D11013,아이스 카푸치노S,0,5,0,55,80
1273,D11014,아이스 카푸치노M,0,7,0,75,111
1274,D11015,모카S,0,10,0,140,312
1275,D11016,모카M,0,14,0,180,427
1276,D11017,아이스모카S,0,6,0,80,244
1277,D11018,아이스모카M,0,9,0,110,339
1278,D11019,드립커피S,0,2,0,35,15
1279,D11020,드립커피M,0,3,0,40,19
1280,D11021,아이스드립커피S,0,1,0,15,8
1281,D11022,아이스드립커피M,0,2,0,20,10
1282,D11023,아이스드립커피L,0,2,0,35,14
1283,D11024,아이스드립커피XL,0,4,0,50,22
1284,D11025,카라멜 마끼아또S,0,8,0,115,232
1285,D11026,카라멜 마끼아또M,0,11,0,150,315
1286,D11027,순수우유 딸기 쉐이크,0,9,0,110,581
1287,D11028,순수우유 쉐이크,0,9,0,110,561
1288,D11029,순수우유 소프트콘,0,7,0,35,351
1289,D11030,순수우유 초코콘,0,7,0,35,432
1290,D11031,쿠앤크 쉐이크,0,11,0,340,703
1291,D11032,크리스피 아이스크림 콘,0,5,0,65,284
1292,D11033,스트로베리 쉐이크,0,9,0,160,466
1293,D11034,밀크쉐이크,0,7,0,35,314
1294,D11035,바삭 콘 라떼,0,6.2,0,208,412
1295,D11036,바삭 콘 프라페,0,7,0,230,454
1296,D11037,피넛 버터 라떼,0,6,0,243,387
1297,D11038,피넛 버터 초코 라떼,0,7,0,222,388
1298,D11039,피넛 버터 카페 라떼,0,6,0,243,387
1299,D11040,피넛 버터 프라페,0,4,0,221,368
1300,D11041,피넛 버터 초코 프라페,0,4,0,200,370
1301,D11042,피넛 버터 카페 프라페,0,4,0,221,368
1302,D11049,바닐라 라떼,0,6,0,101,201
1303,D11050,아이스 바닐라 라떼,0,0,0,76,148
1304,D11051,카라멜 마끼아또,0,5,0,124,218
1305,D11052,아이스 카라멜 마끼아또,0,4,0,128,162
1306,D11053,민트모카 라떼,0,6,0,111,302
1307,D11054,아이스 민트모카 라떼,0,4,0,82,238
1308,D11055,콜드브루,0,0,0,1,3
1309,D11056,콜드브루 라떼,0,4,0,63,78
1310,D11057,콜드브루 마끼아또,0,5,0,136,195
1311,D11058,니트로 콜드브루,0,0,0,1,3
1312,D11059,메론 치즈 프라페,0,19,0,418,687
1313,D11060,요거트 요프치노,0,4,0,63,289
1314,D11061,모카 요프치노,0,3,0,65,159
1315,D11062,쿠앤크 요프치노,0,5,0,222,389
1316,D11063,민트초코칩 요프치노,0,4,0,80,349
1317,D11064,코코넛 카페 요프치노,0,8,0,72,253
1318,D11065,순수 치즈 프라페,0,8,0,418,456
1319,D11066,그린티 치즈 프라페,0,8,0,340,471
1320,D11067,스트로베리 치즈프라페,0,8,0,339,511
1321,D11068,블루베리 치즈프라페,0,7,0,323,509
1322,D11069,화이트 핫초코,0,6.6,0,285,255
1323,D11070,핫초코,0,7.2,0,275.6,279
1324,D11071,초코 라떼,0,10,0,185,321
1325,D11072,아이스 초코라떼,0,6,0,128,219
1326,D11075,밀크티라떼,0,9,0,132,323
1327,D11076,아이스 밀크티라떼,0,6,0,99,238
1328,D11077,고구마 라떼,0,5,0,78,259
1329,D11078,아이스 고구마라떼,0,5,0,78,193
1330,D11079,블랙빈 라떼,0,9,0,139,302
1331,D11080,아이스 블랙빈 라떼,0,9,0,98,239
1332,D11081,리얼 홍시라떼,0,3,0,57,347
1333,D11082,순수 딸기 우유,0,5,0,78,268
1334,D11083,순수 딸기 바나나 우유,0,5,0,75,241
1335,D11084,순수 망고 바나나 우유,0,5,0,75,262
1336,D11085,자몽 스파클링 에이드,0,0,0,32,101
1337,D11086,오렌지 스파클링 에이드,0,0.3,0,8,117
1338,D11087,레몬 스파클링 에이드,0,0,0,2,132
1339,D11088,리얼 홍시주스,0,0.5,0,11.7,416
1340,D11089,딸기 생과일주스,0,1,0,2,98
1341,D11090,키위 생과일주스,0,1,0,7,189
1342,D11091,바나나 생과일 주스,0,4,0,39,212
1343,D11092,토마토 생과일주스,0,1,0,21,79
1344,D11093,흑당 시나몬 버블티,0,6,0,107,353
1345,D11094,흑당 쇼콜라 버블티,0,4,0,88,301
1346,D11095,흑당 말차 버블티,0,9,0,88,389
1347,D11096,흑당 카페 버블티,0,4.7,0,88.7,288
1348,D11097,흑당 홍차 버블티,0,4.7,0,55.3,344
1349,D11098,흑당 버블티,0,5.3,0,99.3,315
1350,D11099,아이스 상그리아 유자 티,0,0.2,0,5.8,164
1351,D11100,상그리아 유자 티,0,0.2,0,5.8,164
1352,D11101,아이스 상그리아 티,0,0.08,0,1.02,159
1353,D11102,상그리아 티,0,0.08,0,1.02,159
1354,D11103,자몽 티,0,1,0,13,144
1355,D11104,유자 티,0,0,0,21,67
1356,D11105,레몬 티,0,1,0,25,147
1357,D11106,페퍼민트,0,0,0,2,1
1358,D11107,베리마테,0,0,0,5,2
1359,D11108,루이보스 레몬프레쉬,0,0,0,5,2
1360,D11110,잉글리쉬 브렉퍼스트,0,0,0,15,2
1361,D11111,캐모마일,0,0,0,2,1
1362,D11112,메리마카롱 초코,0,8,0,375.8,591
1363,D11113,메리마카롱 딸기,0,8.1,0,143.8,528
1364,D11114,메리마카롱 피스타치오,0,11.8,0,72.87,399
1365,D11115,메리마카롱 카라멜,0,9.3,0,176.07,713
1366,D11116,메리메론,0,23,0,138,589
1367,D11117,메리딸기,0,5,0,93,385
1368,D11118,메리치즈,0,8,0,211,531
1369,D11119,메리초코,0,8,0,280,589
1370,D11120,메리트리,0,12,0,149,558
1371,D11121,메리뉴욕,0,15,0,181,654
1372,D11122,메리망고,0,5,0,81,419
1373,D11123,메리베리,0,5,0,79,398
1374,D11124,플레인(콘),0,3,0,54,220
1375,D11125,플레인(컵),0,2,0,53,201
1376,D11126,스트로베리,0,3,0,51,213
1377,D11127,망고,0,3,0,50,208
1378,D11128,블루베리,0,2,0,51,204
1379,D11129,스트로베리 치즈,0,4,0,66,288
1380,D11130,블루베리 치즈,0,4,0,62,278
1381,D11131,초코슈,0,5,0,124,435
1382,D11132,바닐라슈,0,5,0,130,423
1383,D11133,플레인 요거트 쉐이크,0,7.4,0,137.4,416
1384,D11134,딸기 요거트 쉐이크,0,4.9,0,111,481
1385,D11135,망고 요거트 쉐이크,0,4.9,0,89,484
1386,D11136,블루베리 요거트 쉐이크,0,4.2,0,89,478
1387,D11137,메론 요거트 스무디,0,12,0,98,291
1388,D11138,복숭아 요거트 스무디,0,6,0,98,378
1389,D11140,망고 요거트 스무디,0,6,0,96,380
1390,D11142,순수 딸기 요거트,0,6,0,94,233
1391,D11143,순수 딸기 바나나 요거트,0,6,0,91,243
1392,D11144,순수 망고 바나나 요거트,0,6,0,92,261
1393,D11145,슈 앤 딸기 스무디,0,13,0,157,550
1394,D11146,슈 앤 망고 스무디,0,13,0,164,556
1395,D11147,플레인 밀크 아이스크림 (콘),0,5,0,55.3,156
1396,D11148,플레인 밀크 아이스크림 (컵),0,3.4,0,52.8,94.6
1397,D11149,티라미수 밀크 아이스크림,0,3,0,53,120.5
1398,D11150,밀크 아포가토,0,4,0,61,110
1399,D11151,플레인 밀크 쉐이크,0,10,0,127,349
1400,D11152,피넛 밀크 쉐이크,0,6,0,227,334
1401,D11153,쿠키 밀크 쉐이크,0,11,0,232,413
1402,D11154,초콜릿 밀크 쉐이크,0,9,0,248,462
1403,D11155,말차 밀크 프라페,0,7,0,109,370
1404,D11156,블랙빈 밀크프라페,0,3,0,100,348
1405,D11157,오곡 밀크 프라페,0,10,0,143,348
1406,D11158,에스프레소 밀크 프라페,0,3,0,39,71
1407,D11159,망고 마카롱,0,0.4,0,4,40
1408,D11160,초코 마카롱,0,0.4,0,4,40
1409,D11161,딸기 마카롱,0,0.4,0,4,40
1410,D11162,피스타치오 마카롱,0,0.4,0,4,40
1411,D11163,카라멜 마카롱,0,0.4,0,4,40
1412,D11164,딸기 생크림 카스테라,0,10,0,222,609
1413,D11165,메론 생크림 카스테라,0,8,0,184,654
1414,D11166,플레인 카스테라,0,9,0,215,523
1415,D11167,콘 어니언 핫도그,0,17,0,651,376
1416,D11168,칠리앤치즈 핫도그,0,19,0,749,398
1417,D11169,쿠앤크 치즈케이크,0,8,0,244,453
1418,D11170,프렌치 초콜릿 케이크,0,8,0,109,395
1419,D11171,마스카포네 티라미수,0,6,0,117,363
1420,D11172,아메리칸 치즈케이크,0,9,0,403,544
1421,D11173,딸기 생크림 오믈렛,0,1,0,10,73
1422,D11174,딸기 초코 생크림 오믈렛,0,1,0,28,88
1423,D11175,초코 생크림 오믈렛,0,1,0,23,37
1424,D11176,순수 요거트 오믈렛,0,1,0,10,32
1425,D11177,청포도 생크림 오믈렛,0,1,0,11,72
1426,D11178,블루베리 생크림 오믈렛,0,1,0,11,65
1427,D11179,생크림 딸기 와플,0,6,0,150,370
1428,D11180,생크림 딸기 망고 와플,0,6,0,154,382
1429,D11181,생크림 망고 와플,0,6,0,155,395
1430,D11182,생크림 와플,0,5,0,155,338
1431,D11183,생크림 딸기 토스트,0,17,0,902,720
1432,D11184,생크림 망고 토스트,0,17,0,902,728
1433,D11185,아이스 바닐라 슈,0,4,0,138,374
1434,D11186,아이스 초코 슈,0,4,0,130,410
1435,D11187,허니볼,0,12,0,851,553
1436,D11188,플레인 베이글,0,12,0,470,317
1437,D11189,블루베리 베이글,0,12,0,355,346
1438,D11190,어니언 베이글,0,11,0,470,329
1439,D11191,갈릭치즈브래드,0,0,0,1239,914
1440,D11192,허니브래드,0,17,0,944,858
1441,D11193,딸기&초코 메리 스노우 빙수,0,11.3,0,385,590
1442,D11194,딸기&피스타치오 메리 스노우 빙수,0,7.9,0,251,620
1443,D11195,생딸기 스노우빙수,0,7,0,188,553
1444,D11196,홍시 스노우 빙수,0,9,0,182,182
1445,D11197,트리플 초코 스노우 빙수,0,10,0,454,587
1446,D11198,콩고물 스노우 빙수,0,20,0,265,577
1447,D11199,트리플 치즈 스노우 빙수,0,28,0,350,757
1448,D11200,망고&치즈 스노우 빙수,0,8,0,226,683
1449,D11201,딸기&치즈 스노우 빙수,0,9,0,231,678
1450,D11202,더블 그린티 스노우 빙수,0,19,0,298,890
1451,D11203,딸기&망고 요거트 빙수,0,9,0,142,659
1452,D11204,베리&베리 요거트 빙수,0,9,0,141,638
1453,D11205,피치&망고 요거트 빙수,0,10,0,143,691
1454,D11206,치즈 요거트 빙수,0,50,0,254,898
1455,D11207,옛날 팥빙수,0,25,0,371,905
1456,D11208,아메리카노(HOT) R,0,1,0,0,14
1457,D11209,아메리카노(HOT) L,0,2,0,0,48
1458,D11210,아메리카노(HOT) V,0,1,0,0,17
1459,D11211,아메리카노(ICED) R,0,1,0,0,13
1460,D11212,아메리카노(ICED) L,0,1,0,0,17
1461,D11213,아메리카노(ICED) V,0,1,0,0,17
1462,D11215,아포가또(크림치즈),0,5,0,0,281
1463,D11216,아포가또(그린티),0,5,0,0,258
1464,D11217,아포가또(바닐라),0,5,0,0,252
1465,D11218,카라멜마끼아또(HOT) R,0,7,0,0,194
1466,D11219,카라멜마끼아또(HOT) L,0,11,0,0,278
1467,D11220,카라멜마끼아또(HOT) V,0,11,0,0,415
1468,D11221,카라멜마끼아또(ICED) R,0,8,0,0,250
1469,D11222,카라멜마끼아또(ICED) L,0,11,0,0,325
1470,D11223,카라멜마끼아또(ICED) V,0,8,0,0,403
1471,D11224,카페모카(HOT) R,0,8,0,0,258
1472,D11225,카페모카(HOT) L,0,11,0,0,342
1473,D11226,카페모카(HOT) V,0,13,0,0,427
1474,D11227,카페모카(ICED) R,0,6,0,0,227
1475,D11228,카페모카(ICED) L,0,7,0,0,275
1476,D11229,카페모카(ICED) V,0,8,0,0,421
1477,D11230,화이트모카(HOT) R,0,9,0,0,266
1478,D11231,화이트모카(HOT) L,0,12,0,0,343
1479,D11232,화이트모카(HOT) V,0,14,0,0,425
1480,D11233,화이트모카(ICED) R,0,6,0,0,211
1481,D11234,화이트모카(ICED) L,0,8,0,0,260
1482,D11235,화이트모카(ICED) V,0,9,0,0,298
1483,D11236,바닐라라떼(HOT) R,0,7,0,0,224
1484,D11237,바닐라라떼(HOT) L,0,9,0,0,275
1485,D11238,바닐라라떼(HOT) V,0,12,0,0,376
1486,D11239,바닐라라떼(ICED) R,0,5,0,0,182
1487,D11240,바닐라라떼(ICED) L,0,7,0,0,233
1488,D11241,바닐라라떼(ICED) V,0,8,0,0,295
1489,D11242,카페라떼(HOT) R,0,8,0,0,166
1490,D11243,카페라떼(HOT) L,0,10,0,0,219
1491,D11244,카페라떼(HOT) V,0,12,0,0,238
1492,D11245,카페라떼(ICED) R,0,6,0,0,87
1493,D11246,카페라떼(ICED) L,0,7,0,0,112
1494,D11247,카페라떼(ICED) V,0,8,0,0,176
1495,D11248,카푸치노 R,0,5,0,0,78
1496,D11249,카푸치노 L,0,6,0,0,91
1497,D11250,카푸치노 V,0,10,0,0,212
1498,D11251,흑당 아인슈페너 (HOT),0,2,0,0,224
1499,D11252,흑당 아인슈페너 (ICED),0,2,0,0,217
1500,D11253,흑당 아인슈페너 라떼(HOT),0,7,0,0,349
1501,D11254,흑당 아인슈페너 라떼(ICED),0,6,0,0,342
1502,D11255,콜드브루R,0,1,0,0,16
1503,D11256,콜드브루L,0,1,0,0,16
1504,D11257,콜드브루 라떼R,0,6,0,0,113
1505,D11258,콜드브루 라떼L,0,7,0,0,137
1506,D11259,콜드브루 카라멜마끼아또R,0,5,0,0,167
1507,D11260,콜드브루 카라멜마끼아또L,0,5,0,0,200
1508,D11261,콜드브루 헤이즐넛 라떼R,0,5,0,0,157
1509,D11262,콜드브루 헤이즐넛 라떼L,0,7,0,0,196
1510,D11263,콜드브루 바닐라 젤라또 라떼,0,5,0,0,252
1511,D11264,니트로콜드브루,0,1,0,0,21
1512,D11265,오곡라떼(HOT) R,0,12,0,0,300
1513,D11266,오곡라떼(HOT) L,0,15,0,0,375
1514,D11267,오곡라떼(ICED) R,0,8,0,0,192
1515,D11268,오곡라떼(ICED) L,0,10,0,0,242
1516,D11269,그린티라떼(HOT) R,0,10,0,0,295
1517,D11270,그린티라떼(HOT) L,0,12,0,0,357
1518,D11271,그린티라떼(ICED) R,0,7,0,0,233
1519,D11272,그린티라떼(ICED) L,0,8,0,0,284
1520,D11273,차이티라떼(HOT) R,0,10,0,0,317
1521,D11274,차이티라떼(HOT) L,0,13,0,0,394
1522,D11275,차이티라떼(ICED) R,0,5,0,0,196
1523,D11276,차이티라떼(ICED) L,0,6,0,0,251
1524,D11277,리얼초콜릿라떼(HOT) R,0,10,0,0,352
1525,D11278,리얼초콜릿라떼(HOT) L,0,12,0,0,441
1526,D11279,리얼초콜릿라떼(ICED) R,0,7,0,0,277
1527,D11280,리얼초콜릿라떼(ICED) L,0,8,0,0,346
1528,D11281,고구마라떼(HOT) R,0,9,0,0,266
1529,D11282,고구마라떼(HOT) L,0,12,0,0,366
1530,D11283,고구마라떼(ICED) R,0,7,0,0,227
1531,D11284,고구마라떼(ICED) L,0,8,0,0,277
1532,D11285,피스타치오라떼(HOT) R,0,2,0,0,307
1533,D11286,피스타치오라떼(HOT) L,0,2,0,0,384
1534,D11287,피스타치오라떼(ICED) R,0,1,0,0,190
1535,D11288,피스타치오라떼(ICED) L,0,1,0,0,238
1536,D11289,바밤 라떼(HOT),0,8.8,0,0,502
1537,D11290,바밤 라떼(ICED),0,6.1,0,0,466
1538,D11291,플랫 화이트(HOT),0,7,0,0,144
1539,D11292,플레어 연유 라떼(HOT),0,13,0,0,366
1540,D11293,플레어 연유 라떼(ICED),0,11,0,0,313
1541,D11294,플레어 시나몬 라떼(HOT),0,14,0,0,359
1542,D11295,우유(ICED) R,0,6,0,0,147
1543,D11296,우유(ICED) L,0,8,0,0,175
1544,D11297,밀크버블티,0,6,0,0,235
1545,D11298,타로버블티,0,5,0,0,338
1546,D11299,콜드브루프라페노 R,0,3,0,0,236
1547,D11300,콜드브루프라페노L,0,4,0,0,294
1548,D11301,콜드브루카라멜프라페노R,0,3,0,0,269
1549,D11302,콜드브루카라멜프라페노L,0,4,0,0,336
1550,D11303,콜드브루 화이트 모카프라페노R,0,4,0,0,257
1551,D11304,콜드브루 화이트 모카프라페노L,0,5,0,0,321
1552,D11305,콜드브루 모카프라페노R,0,4,0,0,271
1553,D11306,콜드브루 모카프라페노L,0,5,0,0,339
1554,D11307,그린티 프라페노R,0,5,0,0,347
1555,D11308,그린티 프라페노L,0,6,0,0,403
1556,D11309,초코칩 프라페노R,0,9,0,0,411
1557,D11310,초코칩 프라페노L,0,11,0,0,513
1558,D11311,플레인요거트스무디R,0,6,0,0,278
1559,D11312,플레인요거트스무디L,0,8,0,0,348
1560,D11313,딸기요거트스무디R,0,4,0,0,241
1561,D11314,딸기요거트스무디L,0,5,0,0,306
1562,D11315,블루베리요거트스무디R,0,3,0,0,243
1563,D11316,블루베리요거트스무디L,0,4,0,0,342
1564,D11318,블랙티(잉글리쉬블랙퍼스트),0,0,0,0,6
1565,D11319,블랙티(얼그레이),0,0,0,0,5
1566,D11320,허브티(민트),0,0,0,0,5
1567,D11321,허브티(카모마일),0,0,0,0,5
1568,D11322,허브티(히비스커스),0,0,0,0,9
1569,D11323,밀크티(HOT) R,0,8,0,0,250
1570,D11324,밀크티(HOT) L,0,7,0,0,269
1571,D11325,밀크티(ICED) R,0,4,0,0,166
1572,D11326,밀크티(ICED) L,0,4,0,0,157
1573,D11327,유자티(HOT),0,0,0,0,116
1574,D11328,유자티(ICED),0,0,0,0,114
1575,D11329,자몽차(HOT),0,1,0,0,205
1576,D11330,자몽히비스커스티에이드,0,0,0,0,114
1577,D11331,아이스티(복숭아)R,0,0,0,0,185
1578,D11332,아이스티(복숭아)L,0,0,0,0,244
1579,D11333,애플시나몬티(HOT),0,1,0,0,112
1580,D11334,애플시나몬티(ICED),0,0,0,0,110
1581,D11337,칼라만시에이드,0,0,0,0,176
1582,D11338,청포도포도 에이드,0,0,0,0,164
1583,D11339,포도포도 에이드,0,1,0,0,183
1584,D11340,오렌지주스,0,2,0,0,124
1585,D11341,자몽주스,0,2,0,0,120
1586,D11343,벨지안위트비어,0,2,0,0,84
1587,D11344,라즈베리 골드 아이스 티(ICED),0,0.2,0,0,134
1588,D11345,리치 레드 아이스 티(ICED),0,0.1,0,0,130
1589,D11346,브라운슈가 콜드브루 펄라떼(ICED),0,3,0,0,230
1590,D11347,브라운슈가 밀크티 펄라떼(ICED),0,4,0,0,245
1591,D11348,옐로우파인 스무디,0,3.8,0,0,343
1592,D11349,핑크피치 스무디,0,3.9,0,0,315
1593,D11350,자두 에이드,0,0.7,0,0,184
1594,D11351,살구 에이드,0,0.9,0,0,194
1595,D11352,딸기 젤라또 프라페노,0,3.4,0,0,338
1596,D11353,초콜릿 쿠키 젤라또 프라페노,0,7.8,0,0,335
1597,D11354,청도 홍시 라떼,0,1.9,0,0,128
1598,D11355,청도 홍시 주스,0,0.5,0,0,166
1599,D11356,청도 아이스홍시,0,1,0,0,97
1600,D11357,허니브레드(카라멜시나몬),0,15,0,0,1022
1601,D11358,비벼먹는 페스츄리(딸기),0,13,0,0,761
1602,D11359,비벼먹는 페스츄리(초콜릿),0,14,0,0,793
1603,D11363,블루베리 크림치즈,0,5,0,0,288
1604,D11364,초코청크 크림치즈,0,6,0,0,319
1605,D11365,크랜베리 크림치즈,0,6,0,0,314
1606,D11366,허브갈릭 크림치즈,0,6,0,0,292
1607,D11367,플레인 크림치즈,0,6,0,0,287
1608,D11368,진한 뉴욕 치즈케이크,0,10,0,0,678
1609,D11369,자허 토르테(휘핑크림 포함),0,7,0,0,692
1610,D11370,베리 까망베르 치즈 케이크,0,5,0,0,363
1611,D11371,라운드 쇼콜라 케이크,0,5,0,0,492
1612,D11372,홍차 케이크,0,3,0,0,267
1613,D11373,오렌지 케이크,0,3,0,0,296
1614,D11374,이탈리안 티라미수,0,6,0,0,343
1615,D11376,불고기 치아바타,0,19,0,0,545
1616,D11377,어니언 햄 모짜렐라 파니니,0,11,0,0,386
1617,D11378,에그베이컨 크로와상,0,18,0,0,451
1618,D11379,뉴욕칠리 핫도그,0,16,0,0,434
1619,D11380,더블초코 머핀,0,6,0,0,550
1620,D11381,블루베리 머핀,0,5,0,0,460
1621,D11382,진한초코쿠키,0,4,0,0,225
1622,D11383,촉촉크림치즈 쿠키,0,3,0,0,202
1623,D11384,팥빙수,0,29,0,0,1419
1624,D11385,베리딸기빙수,0,8,0,0,661
1625,D11386,초코악마빙수,0,9,0,0,700
1626,D11387,쿠키앤크림빙수,0,17,0,0,1249
1627,D11388,인절미 눈꽃빙수,0,25,0,0,818
1628,D11389,딸기 눈꽃빙수,0,13,0,0,829
1629,D11390,그린티 빙수,0,24,0,0,1148
1630,D11391,커피 빙수,0,17,0,0,938
1631,D11392,스윗 망고 빙수,0,6,0,0,570
1632,D11393,스윗 망고 눈꽃빙수,0,9,0,0,639
1633,D11394,라즈베리 요거트무스케이크,0,5,0,0,275
1634,D11395,옐로우파인 빙수,0,6,0,0,841
1635,D11396,옐로우파인눈꽃빙수,0,10,0,0,890
1636,D11397,핑크피치 빙수,0,6,0,0,730
1637,D11398,핑크피치 눈꽃빙수,0,7,0,0,652
1638,D11399,딸기(싱글),0,0,0,0,126
1639,D11400,딸기(더블),0,1,0,0,252
1640,D11401,딸기(스몰),0,1,0,0,378
1641,D11402,딸기(라지),0,2,0,0,630
1642,D11403,바닐라(싱글),0,1,0,0,203
1643,D11404,바닐라(더블),0,2,0,0,407
1644,D11405,바닐라(스몰),0,3,0,0,610
1645,D11406,바닐라(라지),0,5,0,0,1017
1646,D11407,리코타치즈(싱글),0,3,0,0,214
1647,D11408,리코타치즈(더블),0,5,0,0,428
1648,D11409,리코타치즈(스몰),0,8,0,0,643
1649,D11410,리코타치즈(라지),0,14,0,0,1071
1650,D11411,다크초콜릿(싱글),0,3,0,0,187
1651,D11412,다크초콜릿(더블),0,7,0,0,374
1652,D11413,다크초콜릿(스몰),0,10,0,0,560
1653,D11414,다크초콜릿(라지),0,17,0,0,934
1654,D11415,망고(싱글),0,1,0,0,119
1655,D11416,망고(더블),0,2,0,0,238
1656,D11417,망고(스몰),0,3,0,0,356
1657,D11418,망고(라지),0,5,0,0,594
1658,D11419,그린티(싱글),0,3,0,0,171
1659,D11420,그린티(더블),0,6,0,0,342
1660,D11421,그린티(스몰),0,8,0,0,513
1661,D11422,그린티(라지),0,14,0,0,855
1662,D11423,에스프레소(싱글),0,3,0,0,140
1663,D11424,에스프레소(더블),0,5,0,0,279
1664,D11425,에스프레소(스몰),0,8,0,0,419
1665,D11426,에스프레소(라지),0,13,0,0,698
1666,D11427,요거트(싱글),0,2,0,0,140
1667,D11428,요거트(더블),0,5,0,0,280
1668,D11429,요거트(스몰),0,7,0,0,420
1669,D11430,요거트(라지),0,12,0,0,700
1670,D11431,밤페스츄리와플(단품),0,5,0,0,355
1671,D11432,밤페스츄리와플(플레이트),0,6,0,0,479
1672,D11433,카페 아메리카노 tall(hot/iced),0,0,0,5,5
1673,D11434,카페 아메리카노 grande(hot),0,0,0,10,10
1674,D11435,카페 아메리카노 grande(iced),0,0,0,10,10
1675,D11436,카페 아메리카노 venti(hot/iced),0,0,0,15,15
1676,D11437,카페라떼 tall (hot),12.5,7.5,10,135,178.75
1677,D11438,카페라떼 tall (iced),7.5,4.5,6,85,111.25
1678,D11439,카페라떼 grande (hot),17,10.2,13.6,180,239.5
1679,D11440,카페라떼 grande (iced),12,7.2,9.6,130,172
1680,D11441,카페라떼 venti (hot),23,13.8,18.4,245,325.5
1681,D11442,카페라떼 venti (iced),14,8.4,11.2,155,204
1682,D11443,캬라멜 마끼아또 tall (hot),29.34,6.35,8.23,124.9,220.8
1683,D11444,캬라멜 마끼아또 tall (iced),28.86,5.21,6.68,112.7,200.6
1684,D11445,캬라멜 마끼아또 grande (hot),41.37,8.58,11.1,169,308.35
1685,D11446,캬라멜 마끼아또 grande (iced),39.89,6.84,8.75,146.8,274.65
1686,D11447,캬라멜 마끼아또 venti (hot),54.14,11.68,15.15,224.2,412.75
1687,D11448,캬라멜 마끼아또 venti (iced),49.16,7.84,10,167,331.64
1688,D11449,카푸치노 tall (hot),4,2.4,3.2,50,64
1689,D11450,카푸치노 tall (iced),6,3.6,4.8,70,91
1690,D11451,카푸치노 grande (hot),7,4.2,5.6,80,104.5
1691,D11452,카푸치노 grande (iced),10.5,6.3,8.4,115,151.75
1692,D11453,카푸치노 venti (hot),9,5.4,7.2,105,136.5
1693,D11454,카푸치노 venti (iced),12.5,7.5,10,140,183.75
1694,D11455,바닐라 라떼 tall (hot),27.04,7.1,9.3,125.4,229.05
1695,D11456,바닐라 라떼 tall (iced),22.04,4.1,5.3,75.4,161.55
1696,D11457,바닐라 라떼 grande (hot),38.81,9.6,12.55,165.6,314.95
1697,D11458,바닐라 라떼 grande (iced),33.81,6.6,8.55,115.6,247.45
1698,D11459,바닐라 라떼 venti (hot),52.08,13,17,225.8,426.1
1699,D11460,바닐라 라떼 venti (iced),43.08,7.6,9.8,135.5,304.6
1700,D11461,헤이즐넛 라떼 tall (hot),27.72,7.1,9.3,125.4,231.05
1701,D11462,헤이즐넛 라떼 tall (iced),22.72,4.1,5.3,75.4,1463.5
1702,D11463,헤이즐넛 라떼 grande (hot),39.83,9.6,12.55,165.6,317.95
1703,D11464,헤이즐넛 라떼 grande (iced),34.83,6.6,8.55,115.6,250.45
1704,D11465,헤이즐넛 라떼 venti (hot),53.44,13,17,225.8,430.1
1705,D11466,헤이즐넛 라떼 venti (iced),44.44,7.6,9.8,135.8,308.6
1706,D11467,카페모카 tall (hot),44.66,11.49,21.24,180.28,420.38
1707,D11468,카페모카 tall (iced),369.56,6.52,16.1,96.72,323.52
1708,D11469,카페모카 grande (hot),53.65,12.07,22.41,189.89,474.86
1709,D11470,카페모카 grande (iced),49.53,9.21,23.64,139.81,461.46
1710,D11471,카페모카 venti (hot),62.4,12.57,22.58,198.64,518.61
1711,D11472,카페모카 venti (iced),51.03,10.11,24.84,159.81,486.71
1712,D11473,시나몬 카페모카 tall (hot),39.16,9.24,18.97,170.28,370.38
1713,D11474,시나몬 카페모카 tall (iced),34.56,6.37,16.62,121.72,320.77
1714,D11475,시나몬 카페모카 grande (hot),51.2,11.12,22.06,211.64,459.86
1715,D11476,시나몬 카페모카 grande (iced),48.08,8.86,24.09,171.56,459.96
1716,D11477,시나몬 카페모카 venti (hot),66,14.72,26.56,282.14,579.11
1717,D11478,시나몬 카페모카 venti (iced),59.38,10.36,25.79,207.06,531.96
1718,D11479,그린민트 카페모카 tall (hot),110.5,9.09,19.77,197.03,379.49
1719,D11480,그린민트 카페모카 tall (iced),106.45,6.52,17.82,153.47,336.63
1720,D11481,그린민트 카페모카 grande (hot),198.1,11.09,23.37,251.09,494.43
1721,D11482,그린민트 카페모카 grande (iced),194.49,8.53,25,206.01,487.78
1722,D11483,그린민트 카페모카 venti (hot),287.9,14.51,27.98,329.29,632.39
1723,D11484,그린민트 카페모카 venti (iced),280.31,9.55,26.41,244.21,571.74
1724,D11490,핫 초콜릿 tall (hot),51.23,10.79,19.79,157.53,429.83
1725,D11491,핫 초콜릿 tall (iced),47.13,8.22,17.84,133.97,386.97
1726,D11492,핫 초콜릿 grande (hot),72.47,13.97,23.93,200.89,565.31
1727,D11493,핫 초콜릿 grande (iced),69.35,11.71,25.96,160.81,565.41
1728,D11494,핫 초콜릿 venti (hot),96.47,18.87,29.48,273.39,730.56
